target,parameter,accuracy,standard_deviation
target_original,1,0.9699499999999999,0.010804975705664507
target_original,2,0.9768999999999999,0.0098939375377046
target_original,3,0.9801499999999999,0.00947246008173168
target_original,4,0.9786500000000001,0.009430137856892663
target_original,5,0.9799,0.010099009852455841
target_original,6,0.9789500000000001,0.010327027645939565
target_original,7,0.9790499999999998,0.01048081580794168
target_original,8,0.97845,0.011151121019879582
target_original,9,0.9779499999999999,0.009697809030910031
target_original,10,0.9789999999999999,0.010464224768228184
target_original,11,0.9787,0.009100000000000009
target_original,12,0.9780999999999999,0.010788419717456317
target_original,13,0.9773499999999999,0.00996130011594873
target_original,14,0.9779999999999999,0.009513148795220232
target_original,15,0.9773500000000002,0.009577447467879955
target_original,16,0.97695,0.009922071356324757
target_original,17,0.9767000000000001,0.010397595875970571
target_original,18,0.9764499999999998,0.010399399021097334
target_original,19,0.9757000000000001,0.010863240768757738
target_original,20,0.9758,0.010763828315241756
target_original,21,0.9749999999999999,0.009617692030835682
target_original,22,0.9753499999999999,0.010914554503047761
target_original,23,0.9745999999999999,0.010969958978957042
target_original,24,0.9738000000000001,0.01072660244439031
target_original,25,0.9734999999999998,0.011302654555457325
target_original,26,0.9729500000000002,0.012022790857367523
target_original,27,0.97315,0.01064553897179472
target_original,28,0.9732,0.01042880625958696
target_original,29,0.9714499999999998,0.011859489870985184
target_original,30,0.9714,0.011069778678907733
target_original,31,0.9712999999999998,0.010877040038539907
target_original,32,0.9711,0.011844407963254231
target_original,33,0.97075,0.010638961415476617
target_original,34,0.97115,0.011507714803556793
target_original,35,0.9705499999999998,0.013207857509831037
target_original,36,0.9697499999999999,0.01149728228756693
target_original,37,0.9698,0.011156164215356465
target_original,38,0.9696499999999999,0.011186040407579445
target_original,39,0.9692000000000001,0.013242356285797487
target_original,40,0.9689999999999999,0.012845232578665138
target_original,41,0.9692999999999999,0.011445959985951385
target_original,42,0.9690499999999999,0.01283929515199336
target_original,43,0.9682499999999998,0.012457427503301002
target_original,44,0.9685499999999999,0.01068398333956021
target_original,45,0.96765,0.011946861512547972
target_original,46,0.9682000000000001,0.012359611644384308
target_original,47,0.96765,0.011628735958822018
target_original,48,0.9677499999999999,0.010280442597476054
target_original,49,0.9675499999999999,0.012559757163257582
target_original,50,0.9672999999999999,0.01056929515152265
target_partition1,1,0.06895,0.01745415423330503
target_partition1,2,0.06724999999999999,0.01706421694658152
target_partition1,3,0.06955,0.018386068095163792
target_partition1,4,0.072,0.016015617378046968
target_partition1,5,0.07404999999999999,0.017156558512708774
target_partition1,6,0.0742,0.01774429485778457
target_partition1,7,0.07285000000000001,0.01649628746112288
target_partition1,8,0.07615,0.016745969664369992
target_partition1,9,0.07485,0.019280235994406293
target_partition1,10,0.07490000000000001,0.01474754216810381
target_partition1,11,0.07529999999999998,0.01681992865621017
target_partition1,12,0.0757,0.015016990377569001
target_partition1,13,0.07494999999999999,0.015692275169649557
target_partition1,14,0.07475000000000001,0.017383541066192467
target_partition1,15,0.075,0.01593737745050923
target_partition1,16,0.07450000000000001,0.01868823159103076
target_partition1,17,0.07445,0.016414856076128113
target_partition1,18,0.07415,0.015669317151682138
target_partition1,19,0.07525,0.018819869818890885
target_partition1,20,0.07455,0.01749421332898396
target_partition1,21,0.07529999999999999,0.01924603855342704
target_partition1,22,0.076,0.017930421077041108
target_partition1,23,0.0756,0.016797023545854783
target_partition1,24,0.0765,0.01672572868367773
target_partition1,25,0.07564999999999998,0.015614976785125235
target_partition1,26,0.07585,0.01714723009701567
target_partition1,27,0.07784999999999999,0.017179275304854975
target_partition1,28,0.07780000000000001,0.0190829767070025
target_partition1,29,0.07815,0.01728662777987656
target_partition1,30,0.0783,0.01770903724091177
target_partition1,31,0.07859999999999999,0.016957004452437936
target_partition1,32,0.0789,0.01785469126028227
target_partition1,33,0.07914999999999998,0.017378938402560728
target_partition1,34,0.0797,0.01679017569890202
target_partition1,35,0.0801,0.016643016553497748
target_partition1,36,0.08,0.01802775637731995
target_partition1,37,0.08005000000000001,0.01848641393023536
target_partition1,38,0.08025,0.018157298807917437
target_partition1,39,0.08035,0.02021453684851572
target_partition1,40,0.08044999999999998,0.015701831103409565
target_partition1,41,0.08075000000000002,0.01924025727478715
target_partition1,42,0.08125,0.01597458919659595
target_partition1,43,0.08074999999999999,0.017907749719046222
target_partition1,44,0.08095000000000001,0.01865067022924377
target_partition1,45,0.08095000000000001,0.01774394262840139
target_partition1,46,0.08105000000000001,0.0185242408751344
target_partition1,47,0.08134999999999999,0.017618952863323066
target_partition1,48,0.0815,0.01985572965166478
target_partition1,49,0.0808,0.01746024054817115
target_partition1,50,0.08114999999999999,0.016953686914650747
target_partition2,1,0.7700500000000001,0.029124688839539566
target_partition2,2,0.79735,0.027142724623736642
target_partition2,3,0.8165,0.027726341266023524
target_partition2,4,0.81595,0.025677762753012555
target_partition2,5,0.8210999999999999,0.023564592082189733
target_partition2,6,0.8249000000000001,0.023086576186173626
target_partition2,7,0.8291000000000001,0.02562596339652422
target_partition2,8,0.83095,0.024836414797631306
target_partition2,9,0.8329000000000001,0.02656294411393435
target_partition2,10,0.8308000000000003,0.027264629100723144
target_partition2,11,0.8329499999999999,0.02394885174700448
target_partition2,12,0.83465,0.02508241415813078
target_partition2,13,0.8362499999999998,0.025616157010761777
target_partition2,14,0.8345,0.02361673135723908
target_partition2,15,0.83585,0.02481990128908654
target_partition2,16,0.8367,0.026040545309190432
target_partition2,17,0.8376,0.028744390757154688
target_partition2,18,0.8351,0.027513451255703994
target_partition2,19,0.83435,0.022799725875545074
target_partition2,20,0.8368000000000002,0.023521479545300716
target_partition2,21,0.8380500000000001,0.023652642558496504
target_partition2,22,0.8372499999999998,0.02676167969317322
target_partition2,23,0.8391,0.025272316870441458
target_partition2,24,0.8376999999999998,0.02392091135387613
target_partition2,25,0.8373999999999998,0.024773776458182545
target_partition2,26,0.83735,0.025094371878969193
target_partition2,27,0.8346000000000001,0.02468481314492779
target_partition2,28,0.8364,0.027929196193231188
target_partition2,29,0.8371499999999998,0.024251340169153538
target_partition2,30,0.8354499999999999,0.02448565906811576
target_partition2,31,0.83705,0.027277234097320056
target_partition2,32,0.83545,0.02735959612275005
target_partition2,33,0.83705,0.025505832666274583
target_partition2,34,0.8368499999999999,0.021396903981651175
target_partition2,35,0.8373999999999998,0.026518672666632465
target_partition2,36,0.83765,0.024854124406222797
target_partition2,37,0.83795,0.02488066518403396
target_partition2,38,0.8378500000000001,0.02923401272490658
target_partition2,39,0.8363499999999999,0.025552446066864114
target_partition2,40,0.83785,0.026194035580643153
target_partition2,41,0.83815,0.027273201132247012
target_partition2,42,0.8378499999999999,0.024992548889619073
target_partition2,43,0.8371,0.02706639983448112
target_partition2,44,0.8369500000000001,0.02437103813956229
target_partition2,45,0.8362,0.02853173671545424
target_partition2,46,0.8364499999999998,0.024189822239942146
target_partition2,47,0.8373499999999998,0.024823929987010517
target_partition2,48,0.8371500000000001,0.03001045651102295
target_partition2,49,0.8355,0.026081602711489942
target_partition2,50,0.83625,0.026975683494584523
target_partition3,1,0.7071999999999998,0.033595535417671185
target_partition3,2,0.7454500000000001,0.02898357293364642
target_partition3,3,0.7577499999999999,0.02945653577731096
target_partition3,4,0.7664,0.028801736058786456
target_partition3,5,0.7700499999999999,0.02832397394434617
target_partition3,6,0.77095,0.031636173915314106
target_partition3,7,0.77205,0.029917344467716395
target_partition3,8,0.7731500000000001,0.027282366099735562
target_partition3,9,0.77385,0.028877802894264653
target_partition3,10,0.7761499999999999,0.028616909336963703
target_partition3,11,0.7800000000000001,0.026888659319497504
target_partition3,12,0.7803500000000001,0.023688129938853345
target_partition3,13,0.7791000000000001,0.02973533251873939
target_partition3,14,0.77825,0.029507414322505456
target_partition3,15,0.7753500000000001,0.029010816948166082
target_partition3,16,0.78015,0.027444990435414623
target_partition3,17,0.77885,0.0299320480421905
target_partition3,18,0.7774000000000001,0.028075612192791102
target_partition3,19,0.7785999999999998,0.03135346870762467
target_partition3,20,0.7792500000000001,0.028760867511255638
target_partition3,21,0.7802500000000001,0.028873647154455572
