target,parameter,accuracy,standard_deviation
target_original,0.2,0.01,0.025099800796022267
target_original,0.3,0.0105,0.0265941722939444
target_original,0.1,0.010499999999999999,0.025044959572736388
target_partition1,0.2,0.14150000000000001,0.04189570383702844
target_partition1,0.3,0.145,0.04024922359499621
target_partition1,0.1,0.131,0.041880783182743846
target_partition2,0.2,0.1045,0.03503212811120672
target_partition2,0.3,0.114,0.03897435053981015
target_partition2,0.1,0.0945,0.03895189340712465
target_partition3,0.2,0.137,0.0485386443980464
target_partition3,0.3,0.141,0.05141984052872977
target_partition3,0.1,0.1245,0.044802343688695574
target_partition4,0.2,0.0575,0.011011357772772621
target_partition4,0.3,0.0605,0.01035615758860399
target_partition4,0.1,0.064,0.009433981132056606
target_partition5,0.2,0.0395,0.011926860441876562
target_partition5,0.3,0.030999999999999996,0.010908712114635715
target_partition5,0.1,0.03900000000000001,0.012409673645990856
target_partition6,0.2,0.035500000000000004,0.01253993620398445
target_partition6,0.3,0.042,0.015033296378372907
target_partition6,0.1,0.03799999999999999,0.01004987562112089
target_partition7,0.2,0.028999999999999998,0.007681145747868609
target_partition7,0.3,0.032,0.009273618495495704
target_partition7,0.1,0.033,0.0116619037896906
target_partition8,0.2,0.0275,0.03226840560052511
target_partition8,0.3,0.022500000000000003,0.025617376914898994
target_partition8,0.1,0.037500000000000006,0.035584406697316176
target_partition9,0.2,0.23800000000000002,0.07903163923391694
target_partition9,0.3,0.24299999999999997,0.08182909018191514
target_partition9,0.1,0.225,0.07113367697511497
target_partition10,0.2,0.027500000000000007,0.016163229875244614
target_partition10,0.3,0.020999999999999998,0.012206555615733703
target_partition10,0.1,0.0285,0.016740669042783207
