,model,mean_accuracy,confidence_interval_90,confidence_interval_95
0,gnb_target_partition2,0.75985,"(0.715, 0.805)","(0.707375, 0.815)"
1,knn_target_partition2,0.8370333333333333,"(0.79, 0.875)","(0.785, 0.8826249999999999)"
2,parzen_target_partition2,0.7598166666666667,"(0.705, 0.805)","(0.692375, 0.8126249999999999)"
